geoid,geoid20,year,denom_total_pop,tothomeless_count,totshelt_count,totunshelt_count
1400000US06037101110,6037101110,2022,3879,4,0,4
1400000US06037101122,6037101122,2022,4247,7,0,7
1400000US06037101220,6037101220,2022,3583,0,0,0
1400000US06037101221,6037101221,2022,3723,5,0,5
1400000US06037101222,6037101222,2022,2690,4,0,4
1400000US06037101300,6037101300,2022,0,19,0,19
1400000US06037101400,6037101400,2022,3372,51,0,51
1400000US06037102103,6037102103,2022,1767,2,0,2
1400000US06037102104,6037102104,2022,4003,5,0,5
1400000US06037102105,6037102105,2022,1674,19,0,19
1400000US06037102107,6037102107,2022,3920,28,0,28
1400000US06037103101,6037103101,2022,2481,25,0,25
1400000US06037103102,6037103102,2022,4692,12,0,12
1400000US06037103201,6037103201,2022,4179,21,0,21
1400000US06037103202,6037103202,2022,2082,50,0,50
1400000US06037103300,6037103300,2022,3842,0,0,0
1400000US06037103401,6037103401,2022,2643,7,0,7
1400000US06037103402,6037103402,2022,3902,6,0,6
1400000US06037104103,6037104103,2022,4204,7,0,7
1400000US06037104105,6037104105,2022,5789,4,0,4
1400000US06037104108,6037104108,2022,5138,14,0,14
1400000US06037104124,6037104124,2022,3889,10,10,0
1400000US06037104201,6037104201,2022,4599,96,0,96
1400000US06037104203,6037104203,2022,5178,3,0,3
1400000US06037104204,6037104204,2022,3749,11,0,11
1400000US06037104310,6037104310,2022,4875,75,0,75
1400000US06037104321,6037104321,2022,3115,26,24,3
1400000US06037104322,6037104322,2022,1892,35,31,3
1400000US06037104401,6037104401,2022,3066,6,0,6
1400000US06037104403,6037104403,2022,2724,39,0,39
1400000US06037104404,6037104404,2022,3413,13,0,13
1400000US06037104500,6037104500,2022,3119,6,0,6
1400000US06037104610,6037104610,2022,3274,1,0,1
1400000US06037104620,6037104620,2022,3490,25,0,25
1400000US06037104701,6037104701,2022,3812,29,0,29
1400000US06037104703,6037104703,2022,2367,103,0,103
1400000US06037104704,6037104704,2022,4487,34,0,34
1400000US06037104821,6037104821,2022,3514,9,0,9
1400000US06037104822,6037104822,2022,2668,23,0,23
1400000US06037104823,6037104823,2022,3346,7,0,7
1400000US06037104824,6037104824,2022,2781,8,0,8
1400000US06037106010,6037106010,2022,3494,16,0,16
1400000US06037106020,6037106020,2022,4790,9,0,9
1400000US06037106111,6037106111,2022,4694,1,0,1
1400000US06037106112,6037106112,2022,5167,86,60,26
1400000US06037106113,6037106113,2022,3797,17,0,17
1400000US06037106114,6037106114,2022,6658,35,16,19
1400000US06037106403,6037106403,2022,3501,6,0,6
1400000US06037106405,6037106405,2022,4405,9,0,9
1400000US06037106406,6037106406,2022,6360,18,0,18
1400000US06037106407,6037106407,2022,2558,1,0,1
1400000US06037106408,6037106408,2022,3749,8,0,8
1400000US06037106510,6037106510,2022,5738,88,0,88
1400000US06037106520,6037106520,2022,5861,10,0,10
1400000US06037106603,6037106603,2022,3646,0,0,0
1400000US06037106604,6037106604,2022,3749,108,70,38
1400000US06037106641,6037106641,2022,2200,0,0,0
1400000US06037106642,6037106642,2022,3421,4,0,4
1400000US06037106643,6037106643,2022,4432,0,0,0
1400000US06037106645,6037106645,2022,3874,0,0,0
1400000US06037106646,6037106646,2022,3002,9,0,9
1400000US06037106648,6037106648,2022,4570,4,0,4
1400000US06037106649,6037106649,2022,2816,3,0,3
1400000US06037107010,6037107010,2022,3118,4,0,4
1400000US06037107020,6037107020,2022,5337,23,0,23
1400000US06037108101,6037108101,2022,2324,1,0,1
1400000US06037108102,6037108102,2022,3439,5,0,5
1400000US06037108103,6037108103,2022,3064,0,0,0
1400000US06037108104,6037108104,2022,1756,1,0,1
1400000US06037108202,6037108202,2022,8776,0,0,0
1400000US06037108203,6037108203,2022,3301,3,0,3
1400000US06037108204,6037108204,2022,1831,4,0,4
1400000US06037109100,6037109100,2022,2558,70,13,57
1400000US06037109200,6037109200,2022,2863,8,0,8
1400000US06037109300,6037109300,2022,2846,13,0,13
1400000US06037109400,6037109400,2022,4285,19,0,19
1400000US06037109500,6037109500,2022,4238,36,0,36
1400000US06037109601,6037109601,2022,4849,35,0,35
1400000US06037109603,6037109603,2022,4235,5,0,5
1400000US06037109604,6037109604,2022,2812,10,0,10
1400000US06037109700,6037109700,2022,4496,6,0,6
1400000US06037109800,6037109800,2022,4766,3,0,3
1400000US06037111100,6037111100,2022,3058,0,0,0
1400000US06037111201,6037111201,2022,3462,5,0,5
1400000US06037111202,6037111202,2022,5749,0,0,0
1400000US06037111204,6037111204,2022,5614,2,0,2
1400000US06037111205,6037111205,2022,3761,0,0,0
1400000US06037111206,6037111206,2022,4361,0,0,0
1400000US06037111302,6037111302,2022,4895,7,0,7
1400000US06037111303,6037111303,2022,4975,2,0,2
1400000US06037111304,6037111304,2022,2987,1,0,1
1400000US06037111401,6037111401,2022,2265,23,0,23
1400000US06037111402,6037111402,2022,6294,27,0,27
1400000US06037113101,6037113101,2022,3580,7,0,7
1400000US06037113102,6037113102,2022,2717,0,0,0
1400000US06037113211,6037113211,2022,4121,16,0,16
1400000US06037113212,6037113212,2022,3163,35,29,6
1400000US06037113213,6037113213,2022,5176,19,0,19
1400000US06037113231,6037113231,2022,2230,0,0,0
1400000US06037113232,6037113232,2022,4973,7,4,3
1400000US06037113234,6037113234,2022,5371,30,0,30
1400000US06037113235,6037113235,2022,1680,0,0,0
1400000US06037113237,6037113237,2022,5130,272,0,272
1400000US06037113238,6037113238,2022,4165,13,0,13
1400000US06037113239,6037113239,2022,2354,8,0,8
1400000US06037113301,6037113301,2022,4293,10,0,10
1400000US06037113303,6037113303,2022,3899,105,0,105
1400000US06037113322,6037113322,2022,4405,3,0,3
1400000US06037113323,6037113323,2022,3884,102,0,102
1400000US06037113324,6037113324,2022,2931,45,0,45
1400000US06037113423,6037113423,2022,3259,2,2,0
1400000US06037113424,6037113424,2022,3256,6,6,0
1400000US06037113425,6037113425,2022,4561,11,0,11
1400000US06037113426,6037113426,2022,2412,58,0,58
1400000US06037113427,6037113427,2022,2156,1,0,1
1400000US06037113428,6037113428,2022,4026,3,0,3
1400000US06037115101,6037115101,2022,5031,6,0,6
1400000US06037115103,6037115103,2022,3037,0,0,0
1400000US06037115104,6037115104,2022,4509,1,0,1
1400000US06037115202,6037115202,2022,5975,26,5,21
1400000US06037115203,6037115203,2022,2101,3,0,3
1400000US06037115204,6037115204,2022,3957,3,0,3
1400000US06037115301,6037115301,2022,4677,7,0,7
1400000US06037115302,6037115302,2022,3645,0,0,0
1400000US06037115401,6037115401,2022,6186,3,0,3
1400000US06037115403,6037115403,2022,3373,30,0,30
1400000US06037115404,6037115404,2022,2796,24,0,24
1400000US06037117101,6037117101,2022,5130,9,0,9
1400000US06037117102,6037117102,2022,2661,7,0,7
1400000US06037117201,6037117201,2022,4608,38,0,38
1400000US06037117202,6037117202,2022,2840,26,0,26
1400000US06037117301,6037117301,2022,3732,1,0,1
1400000US06037117302,6037117302,2022,4746,0,0,0
1400000US06037117303,6037117303,2022,4510,1,0,1
1400000US06037117404,6037117404,2022,5466,28,0,28
1400000US06037117405,6037117405,2022,3406,36,0,36
1400000US06037117407,6037117407,2022,3702,25,0,25
1400000US06037117408,6037117408,2022,2592,34,29,5
1400000US06037117510,6037117510,2022,3878,39,38,1
1400000US06037117520,6037117520,2022,4322,20,0,20
1400000US06037117530,6037117530,2022,6195,24,0,24
1400000US06037119001,6037119001,2022,4417,21,0,21
1400000US06037119003,6037119003,2022,4070,20,0,20
1400000US06037119004,6037119004,2022,3398,20,0,20
1400000US06037119201,6037119201,2022,4325,0,0,0
1400000US06037119202,6037119202,2022,4895,45,12,33
1400000US06037119310,6037119310,2022,3893,8,0,8
1400000US06037119320,6037119320,2022,4602,11,0,11
1400000US06037119340,6037119340,2022,4034,2,0,2
1400000US06037119341,6037119341,2022,2670,17,0,17
1400000US06037119342,6037119342,2022,2902,0,0,0
1400000US06037119400,6037119400,2022,5307,13,0,13
1400000US06037119700,6037119700,2022,4781,6,0,6
1400000US06037119801,6037119801,2022,2608,3,0,3
1400000US06037119802,6037119802,2022,3313,4,0,4
1400000US06037119900,6037119900,2022,4837,8,0,8
1400000US06037120010,6037120010,2022,2617,0,0,0
1400000US06037120020,6037120020,2022,3945,0,0,0
1400000US06037120030,6037120030,2022,2448,10,0,10
1400000US06037120103,6037120103,2022,3057,6,0,6
1400000US06037120104,6037120104,2022,2308,11,0,11
1400000US06037120105,6037120105,2022,2645,1,0,1
1400000US06037120106,6037120106,2022,4462,9,0,9
1400000US06037120107,6037120107,2022,4222,5,0,5
1400000US06037120108,6037120108,2022,4517,19,0,19
1400000US06037120300,6037120300,2022,4982,78,0,78
1400000US06037120400,6037120400,2022,6155,19,0,19
1400000US06037121010,6037121010,2022,5243,79,0,79
1400000US06037121020,6037121020,2022,3626,10,0,10
1400000US06037121101,6037121101,2022,3088,0,0,0
1400000US06037121102,6037121102,2022,2273,94,0,94
1400000US06037121210,6037121210,2022,3109,49,0,49
1400000US06037121221,6037121221,2022,2329,12,0,12
1400000US06037121222,6037121222,2022,4808,17,0,17
1400000US06037121600,6037121600,2022,2745,31,23,8
1400000US06037121801,6037121801,2022,3374,2,0,2
1400000US06037121802,6037121802,2022,3017,553,449,104
1400000US06037121900,6037121900,2022,3548,54,0,54
